id,observed_on,quality_grade,latitude,longitude,place_town_name,place_county_name,place_state_name,scientific_name,common_name
833135,2014-07-26,research,39.55965,-78.457106,,Allegany,Maryland,Limenitis arthemis astyanax,Red-spotted Purple
833717,2014-07-19,research,38.971076,-76.513587,,Anne Arundel,Maryland,Limenitis arthemis astyanax,Red-spotted Purple
833779,2014-08-16,research,33.0766310574,-94.7121817907,,Morris,Texas,Limenitis arthemis astyanax,Red-spotted Purple
834443,2014-08-14,research,38.9485166667,-78.0178766667,,Fauquier,Virginia,Limenitis arthemis astyanax,Red-spotted Purple
834838,2014-08-14,research,39.493366,-79.422307,,Garrett,Maryland,Limenitis arthemis astyanax,Red-spotted Purple
846744,2014-08-21,research,40.420014,-89.837587,,Mason,Illinois,Limenitis arthemis astyanax,Red-spotted Purple
853006,2014-08-29,research,31.405186,-94.100422,,San Augustine,Texas,Limenitis arthemis astyanax,Red-spotted Purple
866561,2014-09-07,research,35.513351,-93.325964,,Johnson,Arkansas,Limenitis arthemis astyanax,Red-spotted Purple
867478,2014-09-07,research,39.284481,-75.506531,,Kent,Delaware,Limenitis arthemis astyanax,Red-spotted Purple
867973,2014-09-08,research,30.849483,-91.224237,,,Louisiana,Limenitis arthemis astyanax,Red-spotted Purple
868523,2014-08-06,research,41.9987336526,-88.0015376141,,DuPage,Illinois,Limenitis arthemis astyanax,Red-spotted Purple
868540,2014-08-10,research,41.9653219092,-88.0656605508,,DuPage,Illinois,Limenitis arthemis astyanax,Red-spotted Purple
870040,2014-07-16,research,40.109803,-75.46114,,Montgomery,Pennsylvania,Limenitis arthemis astyanax,Red-spotted Purple
875828,2013-08-16,research,41.8281618259,-88.0509688789,,DuPage,Illinois,Limenitis arthemis astyanax,Red-spotted Purple
886113,2014-09-19,research,30.293156,-91.020544,,,Louisiana,Limenitis arthemis astyanax,Red-spotted Purple
888109,2014-09-21,research,39.242777,-84.196687,,Clermont,Ohio,Limenitis arthemis astyanax,Red-spotted Purple
891119,2014-09-23,research,30.813977,-94.022605,,Jasper,Texas,Limenitis arthemis astyanax,Red-spotted Purple
891282,2014-09-09,research,37.529712,-88.981586,,Johnson,Illinois,Limenitis arthemis astyanax,Red-spotted Purple
901992,2014-07-27,research,34.514987,-77.484998,,Onslow,North Carolina,Limenitis arthemis astyanax,Red-spotted Purple
910489,2014-09-11,research,29.7981716175,-98.8043930621,,Kendall,Texas,Limenitis arthemis astyanax,Red-spotted Purple
920388,2014-09-27,research,36.56473,-78.3714666667,,Mecklenburg,Virginia,Limenitis arthemis astyanax,Red-spotted Purple
1023695,2014-10-17,research,32.663655,-94.1256033333,,Harrison,Texas,Limenitis arthemis astyanax,Red-spotted Purple
1070833,2014-10-22,research,33.0509305,-96.93553,,Denton,Texas,Limenitis arthemis astyanax,Red-spotted Purple
1076957,2014-07-30,research,41.016112,-81.940522,,Medina,Ohio,Limenitis arthemis astyanax,Red-spotted Purple
1088561,2014-08-11,research,41.724386,-87.889423,,Cook,Illinois,Limenitis arthemis astyanax,Red-spotted Purple
1144262,2010-09-18,research,38.93481,-74.959213,,Cape May,New Jersey,Limenitis arthemis astyanax,Red-spotted Purple
1159470,2014-05-02,research,33.782504,-82.492751,,Lincoln,Georgia,Limenitis arthemis astyanax,Red-spotted Purple
1189956,2005-09-13,research,39.910566,-78.052624,,Fulton,Pennsylvania,Limenitis arthemis astyanax,Red-spotted Purple
1196148,2014-07-13,research,40.498034,-74.434867,Highland Park New Jersey,Middlesex,New Jersey,Limenitis arthemis astyanax,Red-spotted Purple
1212486,2009-07-28,research,40.358876,-74.765046,,Mercer,New Jersey,Limenitis arthemis astyanax,Red-spotted Purple
1241982,2010-07-25,research,40.4263333333,-79.9063333333,Pittsburgh,Allegheny,Pennsylvania,Limenitis arthemis astyanax,Red-spotted Purple
1251571,2012-08-27,research,41.288705,-74.841556,,Pike,Pennsylvania,Limenitis arthemis astyanax,Red-spotted Purple
1266379,2009-08-07,research,40.316041,-74.748984,,Mercer,New Jersey,Limenitis arthemis astyanax,Red-spotted Purple
1280765,2015-03-08,research,40.707235,-82.62673,,Richland,Ohio,Limenitis arthemis astyanax,Red-spotted Purple
1347623,2007-07-12,research,42.327883,-85.31745,,Kalamazoo,Michigan,Limenitis arthemis astyanax,Red-spotted Purple
1349912,2015-03-29,research,29.421268,-83.022008,,Dixie,Florida,Limenitis arthemis astyanax,Red-spotted Purple
1362401,2015-03-31,research,30.924196,-94.156426,,Jasper,Texas,Limenitis arthemis astyanax,Red-spotted Purple
1375005,2015-04-07,research,30.81379,-94.021758,,Jasper,Texas,Limenitis arthemis astyanax,Red-spotted Purple
1406153,2015-04-18,research,33.036975,-96.5835722222,,Collin,Texas,Limenitis arthemis astyanax,Red-spotted Purple
1413330,2015-04-21,research,29.6752306024,-98.8193358194,,Bandera,Texas,Limenitis arthemis astyanax,Red-spotted Purple
1416575,2012-06-21,research,35.894026,-80.561449,,Davie,North Carolina,Limenitis arthemis astyanax,Red-spotted Purple
1427252,2015-04-25,research,30.813601,-94.021431,,Jasper,Texas,Limenitis arthemis astyanax,Red-spotted Purple
1447355,2015-05-02,research,35.504586,-93.313797,,Johnson,Arkansas,Limenitis arthemis astyanax,Red-spotted Purple
1450949,2015-05-01,research,29.729651,-82.457371,,Alachua,Florida,Limenitis arthemis astyanax,Red-spotted Purple
1476079,2014-06-19,research,33.3059166667,-86.7569083333,,Shelby,Alabama,Limenitis arthemis astyanax,Red-spotted Purple
1504585,2015-05-17,research,40.283025,-74.5862966667,,Mercer,New Jersey,Limenitis arthemis astyanax,Red-spotted Purple
1516640,2014-07-26,research,37.462513,-77.605263,,Chesterfield,Virginia,Limenitis arthemis astyanax,Red-spotted Purple
1526840,2015-05-21,research,33.15878,-96.615406,,Collin,Texas,Limenitis arthemis astyanax,Red-spotted Purple
1527718,2015-05-22,research,35.40904192,-84.57541342,,McMinn,Tennessee,Limenitis arthemis astyanax,Red-spotted Purple
1539131,2015-05-24,research,39.0668466667,-76.7867533333,,Anne Arundel,Maryland,Limenitis arthemis astyanax,Red-spotted Purple
1550981,2015-05-25,research,39.099275,-76.583605,,Anne Arundel,Maryland,Limenitis arthemis astyanax,Red-spotted Purple
1553874,2015-05-23,research,37.5037420849,-80.4529968649,,Monroe,West Virginia,Limenitis arthemis astyanax,Red-spotted Purple
1555757,2015-05-26,research,42.517324,-83.95182,,Livingston,Michigan,Limenitis arthemis astyanax,Red-spotted Purple
1558001,2015-05-28,research,42.198925,-71.09786,,Norfolk,Massachusetts,Limenitis arthemis astyanax,Red-spotted Purple
1558756,2015-05-28,research,31.372661,-94.727535,,Angelina,Texas,Limenitis arthemis astyanax,Red-spotted Purple
1559156,2015-05-17,research,35.988426,-78.949648,,Durham,North Carolina,Limenitis arthemis astyanax,Red-spotted Purple
1560049,2015-05-14,research,35.1500583333,-84.6093466667,,Polk,Tennessee,Limenitis arthemis astyanax,Red-spotted Purple
1560050,2015-05-14,research,35.1500583333,-84.6093466667,,Polk,Tennessee,Limenitis arthemis astyanax,Red-spotted Purple
1560051,2015-05-14,research,35.150065,-84.609345,,Polk,Tennessee,Limenitis arthemis astyanax,Red-spotted Purple
1565256,2015-05-30,research,39.0261916667,-76.758425,,Prince George's,Maryland,Limenitis arthemis astyanax,Red-spotted Purple
1565929,2015-05-25,research,41.016176,-81.940418,,Medina,Ohio,Limenitis arthemis astyanax,Red-spotted Purple
1574805,2015-06-01,research,36.952,-92.66045,,Douglas,Missouri,Limenitis arthemis astyanax,Red-spotted Purple
1575292,2015-05-30,research,39.577847,-82.237649,,Perry,Ohio,Limenitis arthemis astyanax,Red-spotted Purple
1589688,2015-05-31,research,39.947525,-77.491465,,Franklin,Pennsylvania,Limenitis arthemis astyanax,Red-spotted Purple
1591693,2015-06-04,research,41.827472,-88.145467,,DuPage,Illinois,Limenitis arthemis astyanax,Red-spotted Purple
1600993,2015-06-06,research,40.550626,-76.70196,,Dauphin,Pennsylvania,Limenitis arthemis astyanax,Red-spotted Purple
1601833,2015-06-06,research,38.754528,-77.112615,,Fairfax,Virginia,Limenitis arthemis astyanax,Red-spotted Purple
1604161,2014-10-05,research,37.755625,-89.096813,,Williamson,Illinois,Limenitis arthemis astyanax,Red-spotted Purple
1604266,2015-06-07,research,41.593175,-79.9757916667,,Crawford,Pennsylvania,Limenitis arthemis astyanax,Red-spotted Purple
1604411,2015-06-07,research,33.380271,-84.62054,,Coweta,Georgia,Limenitis arthemis astyanax,Red-spotted Purple
1604415,2015-06-07,research,38.995958,-78.220791,,Warren,Virginia,Limenitis arthemis astyanax,Red-spotted Purple
1606493,2015-06-08,research,30.301435,-97.82169,,Travis,Texas,Limenitis arthemis astyanax,Red-spotted Purple
1607399,2015-06-05,research,29.592983,-99.738635,,Uvalde,Texas,Limenitis arthemis astyanax,Red-spotted Purple
1607744,2015-06-07,research,38.99547,-78.219575,,Warren,Virginia,Limenitis arthemis astyanax,Red-spotted Purple
1608949,2015-06-07,research,43.573675,-73.404636,West Haven,Rutland,Vermont,Limenitis arthemis arthemis × astyanax,White Admiral × Red-spotted Purple
1610627,2015-05-30,research,37.462513,-77.605263,,Chesterfield,Virginia,Limenitis arthemis astyanax,Red-spotted Purple
1610690,2015-06-09,research,32.311411,-97.014929,,Ellis,Texas,Limenitis arthemis astyanax,Red-spotted Purple
1613233,2015-06-06,research,41.591910404,-79.203157161,,Forest,Pennsylvania,Limenitis arthemis astyanax,Red-spotted Purple
1615328,2015-06-09,research,41.237349,-83.683612,,Wood,Ohio,Limenitis arthemis astyanax,Red-spotted Purple
1627939,2015-06-13,research,34.318643,-89.438277,,Lafayette,Mississippi,Limenitis arthemis astyanax,Red-spotted Purple
1631516,2015-06-13,research,44.425198,-93.358565,,Rice,Minnesota,Limenitis arthemis astyanax,Red-spotted Purple
1632735,2014-07-25,research,42.311542,-83.707752,Ann Arbor,Washtenaw,Michigan,Limenitis arthemis astyanax,Red-spotted Purple
1633882,2015-06-14,research,44.7382965,-91.9220275833,,Dunn,Wisconsin,Limenitis arthemis astyanax,Red-spotted Purple
1635403,2015-06-14,research,44.572558,-92.635794,,Goodhue,Minnesota,Limenitis arthemis astyanax,Red-spotted Purple
1640631,2015-06-11,research,41.420136,-75.233321,,Pike,Pennsylvania,Limenitis arthemis astyanax,Red-spotted Purple
1644970,2015-06-17,research,43.528391,-72.427046,Hartland,Windsor,Vermont,Limenitis arthemis arthemis × astyanax,White Admiral × Red-spotted Purple
